Classifier,Mean Acc,Std Acc,mean P Micro,std P micro,mean R Micro,std R micro,mean f1  Micro,std f1 micro,mean P Macro,std P macro,mean R Macro,std R macro,mean f1 Macro,std f1 macro,mean P weighted,std P wghtd,mean R wgtd,std R wgtd,mean f1 wgtd,std f1 wgtd
"LGBMClassifier(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
               importance_type='split', learning_rate=0.1, max_depth=3,
               min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
               n_estimators=30, n_jobs=-1, num_leaves=31, objective=None,
               random_state=None, reg_alpha=0.0, reg_lambda=0.0, silent=True,
               subsample=1.0, subsample_for_bin=200000, subsample_freq=0)",0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.8594739093,0.121076284,0.8427738095,0.1290277374,0.8483459872,0.1254492411,0.9354194836,0.0790947218,0.9031612903,0.0790685631,0.9139139569,0.0729949721
"LGBMClassifier(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
               importance_type='split', learning_rate=0.1, max_depth=3,
               min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
               n_estimators=40, n_jobs=-1, num_leaves=31, objective=None,
               random_state=None, reg_alpha=0.0, reg_lambda=0.0, silent=True,
               subsample=1.0, subsample_for_bin=200000, subsample_freq=0)",0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.8594739093,0.121076284,0.8427738095,0.1290277374,0.8483459872,0.1254492411,0.9354194836,0.0790947218,0.9031612903,0.0790685631,0.9139139569,0.0729949721
"LGBMClassifier(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
               importance_type='split', learning_rate=0.1, max_depth=3,
               min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
               n_estimators=50, n_jobs=-1, num_leaves=31, objective=None,
               random_state=None, reg_alpha=0.0, reg_lambda=0.0, silent=True,
               subsample=1.0, subsample_for_bin=200000, subsample_freq=0)",0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.8594739093,0.121076284,0.8427738095,0.1290277374,0.8483459872,0.1254492411,0.9354194836,0.0790947218,0.9031612903,0.0790685631,0.9139139569,0.0729949721
"LGBMClassifier(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
               importance_type='split', learning_rate=0.1, max_depth=4,
               min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
               n_estimators=10, n_jobs=-1, num_leaves=31, objective=None,
               random_state=None, reg_alpha=0.0, reg_lambda=0.0, silent=True,
               subsample=1.0, subsample_for_bin=200000, subsample_freq=0)",0.9029354839,0.0792546181,0.9029354839,0.0792546181,0.9029354839,0.0792546181,0.9029354839,0.0792546181,0.8595238095,0.1210310955,0.8424821429,0.1292395389,0.8482237815,0.1255455703,0.935483871,0.0790157982,0.9029354839,0.0792546181,0.9138322364,0.0730796611
"LGBMClassifier(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
               importance_type='split', learning_rate=0.1, max_depth=4,
               min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
               n_estimators=20, n_jobs=-1, num_leaves=31, objective=None,
               random_state=None, reg_alpha=0.0, reg_lambda=0.0, silent=True,
               subsample=1.0, subsample_for_bin=200000, subsample_freq=0)",0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.8595238095,0.1210310955,0.8427738095,0.1290277374,0.8483709622,0.1254296039,0.935483871,0.0790157982,0.9031612903,0.0790685631,0.9139461827,0.0729616493
"LGBMClassifier(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
               importance_type='split', learning_rate=0.1, max_depth=4,
               min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
               n_estimators=30, n_jobs=-1, num_leaves=31, objective=None,
               random_state=None, reg_alpha=0.0, reg_lambda=0.0, silent=True,
               subsample=1.0, subsample_for_bin=200000, subsample_freq=0)",0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.8595238095,0.1210310955,0.8427738095,0.1290277374,0.8483709622,0.1254296039,0.935483871,0.0790157982,0.9031612903,0.0790685631,0.9139461827,0.0729616493
"LGBMClassifier(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
               importance_type='split', learning_rate=0.1, max_depth=4,
               min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
               n_estimators=40, n_jobs=-1, num_leaves=31, objective=None,
               random_state=None, reg_alpha=0.0, reg_lambda=0.0, silent=True,
               subsample=1.0, subsample_for_bin=200000, subsample_freq=0)",0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.8595238095,0.1210310955,0.8427738095,0.1290277374,0.8483709622,0.1254296039,0.935483871,0.0790157982,0.9031612903,0.0790685631,0.9139461827,0.0729616493
"LGBMClassifier(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
               importance_type='split', learning_rate=0.1, max_depth=4,
               min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
               n_estimators=50, n_jobs=-1, num_leaves=31, objective=None,
               random_state=None, reg_alpha=0.0, reg_lambda=0.0, silent=True,
               subsample=1.0, subsample_for_bin=200000, subsample_freq=0)",0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.8595238095,0.1210310955,0.8427738095,0.1290277374,0.8483709622,0.1254296039,0.935483871,0.0790157982,0.9031612903,0.0790685631,0.9139461827,0.0729616493
"LGBMClassifier(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
               importance_type='split', learning_rate=0.1, max_depth=5,
               min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
               n_estimators=10, n_jobs=-1, num_leaves=31, objective=None,
               random_state=None, reg_alpha=0.0, reg_lambda=0.0, silent=True,
               subsample=1.0, subsample_for_bin=200000, subsample_freq=0)",0.9029354839,0.0792546181,0.9029354839,0.0792546181,0.9029354839,0.0792546181,0.9029354839,0.0792546181,0.8595238095,0.1210310955,0.8424821429,0.1292395389,0.8482237815,0.1255455703,0.935483871,0.0790157982,0.9029354839,0.0792546181,0.9138322364,0.0730796611
"LGBMClassifier(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
               importance_type='split', learning_rate=0.1, max_depth=5,
               min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
               n_estimators=20, n_jobs=-1, num_leaves=31, objective=None,
               random_state=None, reg_alpha=0.0, reg_lambda=0.0, silent=True,
               subsample=1.0, subsample_for_bin=200000, subsample_freq=0)",0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.8594739093,0.121076284,0.8427738095,0.1290277374,0.8483459872,0.1254492411,0.9354194836,0.0790947218,0.9031612903,0.0790685631,0.9139139569,0.0729949721
"LGBMClassifier(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
               importance_type='split', learning_rate=0.1, max_depth=5,
               min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
               n_estimators=30, n_jobs=-1, num_leaves=31, objective=None,
               random_state=None, reg_alpha=0.0, reg_lambda=0.0, silent=True,
               subsample=1.0, subsample_for_bin=200000, subsample_freq=0)",0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.8594739093,0.121076284,0.8427738095,0.1290277374,0.8483459872,0.1254492411,0.9354194836,0.0790947218,0.9031612903,0.0790685631,0.9139139569,0.0729949721
"LGBMClassifier(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
               importance_type='split', learning_rate=0.1, max_depth=5,
               min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
               n_estimators=40, n_jobs=-1, num_leaves=31, objective=None,
               random_state=None, reg_alpha=0.0, reg_lambda=0.0, silent=True,
               subsample=1.0, subsample_for_bin=200000, subsample_freq=0)",0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.8594739093,0.121076284,0.8427738095,0.1290277374,0.8483459872,0.1254492411,0.9354194836,0.0790947218,0.9031612903,0.0790685631,0.9139139569,0.0729949721
"LGBMClassifier(boosting_type='gbdt', class_weight=None, colsample_bytree=1.0,
               importance_type='split', learning_rate=0.1, max_depth=5,
               min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0,
               n_estimators=50, n_jobs=-1, num_leaves=31, objective=None,
               random_state=None, reg_alpha=0.0, reg_lambda=0.0, silent=True,
               subsample=1.0, subsample_for_bin=200000, subsample_freq=0)",0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.9031612903,0.0790685631,0.8594739093,0.121076284,0.8427738095,0.1290277374,0.8483459872,0.1254492411,0.9354194836,0.0790947218,0.9031612903,0.0790685631,0.9139139569,0.0729949721
"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma='auto_deprecated',
    kernel='rbf', max_iter=1000, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",0.1536129032,0.1565488424,0.1536129032,0.1565488424,0.1536129032,0.1565488424,0.1536129032,0.1565488424,0.2294156824,0.0585811242,0.0656208081,0.0637369284,0.0562858693,0.0381756652,0.3801837732,0.1132238955,0.1536129032,0.1565488424,0.1097432957,0.0782804808
"SVC(C=2, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma='auto_deprecated',
    kernel='rbf', max_iter=1000, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",0.1039677419,0.1272726227,0.1039677419,0.1272726227,0.1039677419,0.1272726227,0.1039677419,0.1272726227,0.2360111474,0.0879936397,0.0583739859,0.0601818451,0.0344654402,0.0219820422,0.2644538376,0.1412069641,0.1039677419,0.1272726227,0.0543104997,0.0570779516
"SVC(C=3, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma='auto_deprecated',
    kernel='rbf', max_iter=1000, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",0.1039677419,0.1272726227,0.1039677419,0.1272726227,0.1039677419,0.1272726227,0.1039677419,0.1272726227,0.2360111474,0.0879936397,0.0583739859,0.0601818451,0.0344654402,0.0219820422,0.2644538376,0.1412069641,0.1039677419,0.1272726227,0.0543104997,0.0570779516
"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma='auto_deprecated',
    kernel='poly', max_iter=1000, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",0.0404193548,0.0152467052,0.0404193548,0.0152467052,0.0404193548,0.0152467052,0.0404193548,0.0152467052,0.1068191116,0.0333430141,0.0302511364,0.0166147027,0.0368928548,0.0148043869,0.1946067196,0.0441874483,0.0404193548,0.0152467052,0.0537168302,0.017606399
"SVC(C=2, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma='auto_deprecated',
    kernel='poly', max_iter=1000, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",0.0404193548,0.0152467052,0.0404193548,0.0152467052,0.0404193548,0.0152467052,0.0404193548,0.0152467052,0.1068191116,0.0333430141,0.0302511364,0.0166147027,0.0368928548,0.0148043869,0.1946067196,0.0441874483,0.0404193548,0.0152467052,0.0537168302,0.017606399
"SVC(C=3, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma='auto_deprecated',
    kernel='poly', max_iter=1000, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",0.0404193548,0.0152467052,0.0404193548,0.0152467052,0.0404193548,0.0152467052,0.0404193548,0.0152467052,0.1068191116,0.0333430141,0.0302511364,0.0166147027,0.0368928548,0.0148043869,0.1946067196,0.0441874483,0.0404193548,0.0152467052,0.0537168302,0.017606399
"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=4, gamma='auto_deprecated',
    kernel='poly', max_iter=1000, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",0.0929032258,0.0849417993,0.0929032258,0.0849417993,0.0929032258,0.0849417993,0.0929032258,0.0849417993,0.1128006469,0.0240327294,0.0413037037,0.0293020156,0.0413167932,0.0244347746,0.2796638675,0.0953935652,0.0929032258,0.0849417993,0.1037819216,0.086869601
"SVC(C=2, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=4, gamma='auto_deprecated',
    kernel='poly', max_iter=1000, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",0.0929032258,0.0849417993,0.0929032258,0.0849417993,0.0929032258,0.0849417993,0.0929032258,0.0849417993,0.1128006469,0.0240327294,0.0413037037,0.0293020156,0.0413167932,0.0244347746,0.2796638675,0.0953935652,0.0929032258,0.0849417993,0.1037819216,0.086869601
"SVC(C=3, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=4, gamma='auto_deprecated',
    kernel='poly', max_iter=1000, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",0.0929032258,0.0849417993,0.0929032258,0.0849417993,0.0929032258,0.0849417993,0.0929032258,0.0849417993,0.1128006469,0.0240327294,0.0413037037,0.0293020156,0.0413167932,0.0244347746,0.2796638675,0.0953935652,0.0929032258,0.0849417993,0.1037819216,0.086869601
"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=5, gamma='auto_deprecated',
    kernel='poly', max_iter=1000, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SVC(C=2, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=5, gamma='auto_deprecated',
    kernel='poly', max_iter=1000, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SVC(C=3, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=5, gamma='auto_deprecated',
    kernel='poly', max_iter=1000, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=6, gamma='auto_deprecated',
    kernel='poly', max_iter=1000, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SVC(C=2, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=6, gamma='auto_deprecated',
    kernel='poly', max_iter=1000, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SVC(C=3, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=6, gamma='auto_deprecated',
    kernel='poly', max_iter=1000, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=7, gamma='auto_deprecated',
    kernel='poly', max_iter=1000, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SVC(C=2, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=7, gamma='auto_deprecated',
    kernel='poly', max_iter=1000, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SVC(C=3, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=7, gamma='auto_deprecated',
    kernel='poly', max_iter=1000, probability=False, random_state=None,
    shrinking=True, tol=0.001, verbose=False)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
